Label,Question
egress,¿Qué procedimiento debo seguir para el tramite de titulación?
egress,¿Cuales son los requisitos para mi tramite de titulacion?
majors,Cuales son las carreras?
internship,¿Cuáles son los requisitos necesarios para comenzar mis prácticas profesionales?
financial aid,¿Cuáles son los requisitos para tramitar una beca?
egress,¿Qué documentos necesito para tramitar mi egreso?
about,que es fime
calendar,Cuándo inician las clases?
egress,¿Que requisitos se ocupan para egresar?
postgrad,Cuáles son los programas de doctorado que se ofrecen en la facultad?
enrollment,Reprobé una materia
exchange,¿Qué universidades tienen convenio de intercambio con la facultad?
egress,¿Que puedo hacer después de graduarme?
about,¿que es fime?
locations,¿Dónde está el auditario?
research,¿Se puede solicitar una revisión de tesis?
majors,¿Cuál es la malla curricular de mi carrera?
calendar,¿Cuándo acaba el semestre?
egress,¿Es necesario contar con un promedio mínimo para egresar?
schedules,¿Cuáles son los horarios de atención?
research,¿Se puede elegir sinodales para la revisión de la tesis?
procedures,¿Donde puedo hacer solicitud de tramites?
postgrad,¿Se ofrece algún programa de posgrado en línea?
enrollment,Cuántas oportunidades tengo?
schedules,¿Cuales son los horarios que manejan?
enrollment,¿Se presenta examen en segunda oportunidad?
egress,¿Cuáles son los diferentes procesos de titulación?
locations,¿En qué edificio se encuentran los laboratorios de física?
research,¿Cómo puedo solicitar apoyo para asistir a una conferencia académica?
about,¿cuántos alumnos hay en fime?
egress,¿Cuál es el horario de atención para realizar el trámite de egreso?
internship,¿Cuáles son los requisitos para realizar prácticas profesionales?
majors,¿Qué materias hay en la carrera?
activities,¿Cómo puedo unirme a un club en particular?
procedures,¿Cómo puedo sacar una constancia de estudios?
egress,¿Hay alguna fecha límite para realizar el trámite de egreso?
social service,¿En que consiste el servicio social?
egress,¿Cuál es el plazo para realizar el trámite de egreso?
internship,¿Dónde se ubica el departamento de prácticas profesionales?
financial aid,¿Qué becas ofrece la universidad para irse de intercambio?
financial aid,Hay alguna beca a la que pueda aplicar?
majors,¿Cómo puedo cambiarme de carrera?
financial aid,¿Existen becas disponibles en la universidad?
majors,planes de estudios 
majors,¿Cual es mi plan de estudios completo? 
enrollment,Qué pasa si repruebo una materia?
enrollment,¿Cómo puedo hacer mi horario?
internship,¿Cuándo se lleva a cabo la charla informativa sobre las prácticas profesionales?
costs,¿Cómo puedo obtener mi factura de pago?
egress,¿Cuales son los requisitos de titulación?
majors,cuáles son las optativas disponibles
locations,Dónde está subdirección academica
locations,Dónde está el edificio de la Facultad de Ingeniería?
research,¿Cuánto tiempo se tarda en obtener una respuesta sobre una solicitud de financiamiento para un proyecto de investigación?
about,¿quién es el director de la fime?
enrollment,Cómo se inscriben las materias en el horario
internship,¿Cuáles son los requisitos que debo cumplir para hacer mis prácticas profesionales?
enrollment,créditos necesarios cada semestre
social service,¿Qué requisitos ocupo para el servicio social?
admission,¿Datos para una ficha de nuevo ingreso?
costs,¿Cuáles cuentas son en las que puedo realizar pagos?
calendar,¿Cuándo son los veranos?
locations,En dónde está subdirección academica
financial aid,ofrecen becas para irme al extranjero a estudiar 
social service,¿Qué requiero para tramitar el servicio social?
about,¿cuándo se inauguró la fime?
about,Cuántos departamentos tiene FIME?
egress,¿Cuales son las opciones de titulación? 
safety,¿Cómo puedo obtener un botón de pánico?
financial aid,¿Cómo puedo aplicar para una beca en la universidad?
enrollment,¿Como puedo adelantar materias?
costs,¿Hay algún descuento por realizar el pago anticipado?
admission,¿Qué papelería necesito para inscribirme?
enrollment,¿Que materias puedo revalidar viniendo de otra universidad?
admission,Qué opciones tengo si no puedo pagar la inscripción?
enrollment,Cómo puedo hacer el horario
activities,¿Hay alguna competencia deportiva en la que pueda participar como estudiante de la universidad?
costs,Cuál es el proceso para realizar el pago de reinscripción?
costs,Costos
research,¿Cuáles son los requisitos para publicar un artículo en una revista científica?
admission,¿Hasta cuándo es la fecha límite para el pago de inscripción?
schedules,¿Cuáles son los horarios de atención de escolar?
social service,cuáles son los requisitos para meter servicio social
egress,¿Cómo puedo saber si cumplo con los requisitos para egresar?
safety,¿Cómo puedo reportar un robo o pérdida de pertenencias en el campus?
activities,¿La universidad ofrece actividades extracurriculares para estudiantes de intercambio?
postgrad,¿Cuáles son las diferentes maestrías que ofrecen? 
about,Información de FIME
majors,qué carreras ofrecen
